id,speaker,list_sort_c,flanker_c,card_sort_c,vocab_c,pattern_c,posttest,pretest
170,AM1,97,93,115,117,115,54.46808511,43.03797468
171,AM1,102,87,103,89,86,46.80851064,45.56962025
172,AM1,123,131,131,118,142,50.63829787,27.84810127
182,PDM10,96,80,94,104,133,57.56302521,48.10126582
183,PDM10,96,101,122,110,133,49.15966387,53.16455696
184,PDM10,102,92,90,108,119,44.11764706,40.50632911
185,PDM10,96,85,123,127,123,65.54621849,65.82278481
186,PDM10,91,103,118,125,124,58.40336134,59.49367089
187,PDM10,86,70,101,102,130,61.34453782,53.16455696
188,PDM10,107,92,118,90,102,60.50420168,50.63291139
189,PDM10,124,87,114,123,81,65.96638655,48.10126582
220,ALSM1,107,96,112,112,123,86.97478992,79.74683544
221,ALSM1,107,80,78,78,68,80.67226891,67.08860759
222,ALSM1,107,74,83,83,117,82.77310924,74.6835443
223,ALSM1,123,96,105,105,117,88.23529412,78.48101266
224,ALSM1,91,87,102,102,119,82.77310924,73.41772152
225,ALSM1,91,96,95,95,101,83.61344538,81.01265823
226,ALSM1,107,114,84,84,80,81.51260504,75.94936709
227,ALSM1,96,97,118,118,118,85.71428571,81.01265823
228,ALSM1,102,75,118,118,107,90.75630252,77.21518987
229,ALSM1,112,96,100,100,128,86.97478992,78.48101266
230,ALSM1,,91,106,106,134,86.13445378,79.74683544
231,ALSM1,91,86,96,96,107,86.97478992,82.27848101
233,ALSM1,88,95,108,108,89,86.97478992,87.34177215
234,ALSM1,134,86,107,107,129,76.8907563,74.6835443
235,ALSM1,123,109,131,131,136,88.23529412,78.48101266
236,ALSM1,107,102,78,78,90,84.87394958,84.81012658
237,ALSM1,123,85,83,83,128,84.03361345,70.88607595
238,ALSM1,96,91,117,117,101,77.73109244,73.41772152
239,ALSM1,80,85,111,111,106,78.57142857,70.88607595
240,ALSM1,128,91,123,123,106,81.93277311,70.88607595
241,ALSM1,96,102,101,101,118,81.51260504,82.27848101
242,ALSM1,86,80,100,100,101,80.67226891,75.94936709
243,ALSM1,96,129,112,112,96,81.51260504,77.21518987
244,ALSM1,101,96,117,117,133,84.87394958,67.08860759
270,ALSM1,107,92,113,119,102,85.29411765,73.41772152
271,ALSM1,107,81,85,113,130,91.59663866,86.07594937
272,ALSM1,97,76,91,113,86,90.33613445,86.07594937
273,ALSM1,112,80,95,97,124,81.09243697,73.41772152
274,ALSM1,96,96,105,93,100,82.35294118,69.62025316
275,ALSM1,96,97,112,114,124,82.77310924,77.21518987
276,ALSM1,102,65,85,95,80,91.59663866,84.81012658
277,ALSM1,86,103,125,118,136,87.81512605,82.27848101
278,ALSM1,107,129,124,120,129,88.23529412,84.81012658
279,ALSM1,107,92,90,119,107,84.45378151,86.07594937
280,ALSM1,107,117,122,93,117,83.19327731,77.21518987
