id,phase,intel,speaker,cognitive_skills,standard_score
18,posttest,82.77310924,ALSM1,list_sort_c,128
18,posttest,82.77310924,ALSM1,flanker_c,80
18,posttest,82.77310924,ALSM1,card_sort_c,89
18,posttest,82.77310924,ALSM1,vocab_c,89
18,posttest,82.77310924,ALSM1,pattern_c,54
18,pretest,83.5443038,ALSM1,list_sort_c,128
18,pretest,83.5443038,ALSM1,flanker_c,80
18,pretest,83.5443038,ALSM1,card_sort_c,89
18,pretest,83.5443038,ALSM1,vocab_c,89
18,pretest,83.5443038,ALSM1,pattern_c,54
19,posttest,84.03361345,ALSM1,list_sort_c,112
19,posttest,84.03361345,ALSM1,flanker_c,73
19,posttest,84.03361345,ALSM1,card_sort_c,101
19,posttest,84.03361345,ALSM1,vocab_c,101
19,posttest,84.03361345,ALSM1,pattern_c,72
19,pretest,70.88607595,ALSM1,list_sort_c,112
19,pretest,70.88607595,ALSM1,flanker_c,73
19,pretest,70.88607595,ALSM1,card_sort_c,101
19,pretest,70.88607595,ALSM1,vocab_c,101
19,pretest,70.88607595,ALSM1,pattern_c,72
41,posttest,37.0212766,AM1,list_sort_c,96
41,posttest,37.0212766,AM1,flanker_c,97
41,posttest,37.0212766,AM1,card_sort_c,107
41,posttest,37.0212766,AM1,vocab_c,85
41,posttest,37.0212766,AM1,pattern_c,101
41,pretest,27.84810127,AM1,list_sort_c,96
41,pretest,27.84810127,AM1,flanker_c,97
41,pretest,27.84810127,AM1,card_sort_c,107
41,pretest,27.84810127,AM1,vocab_c,85
41,pretest,27.84810127,AM1,pattern_c,101
42,posttest,36.17021277,AM1,list_sort_c,102
42,posttest,36.17021277,AM1,flanker_c,91
42,posttest,36.17021277,AM1,card_sort_c,117
42,posttest,36.17021277,AM1,vocab_c,86
42,posttest,36.17021277,AM1,pattern_c,101
42,pretest,21.51898734,AM1,list_sort_c,102
42,pretest,21.51898734,AM1,flanker_c,91
42,pretest,21.51898734,AM1,card_sort_c,117
42,pretest,21.51898734,AM1,vocab_c,86
42,pretest,21.51898734,AM1,pattern_c,101
44,posttest,47.23404255,AM1,list_sort_c,107
44,posttest,47.23404255,AM1,flanker_c,108
44,posttest,47.23404255,AM1,card_sort_c,107
44,posttest,47.23404255,AM1,vocab_c,114
44,posttest,47.23404255,AM1,pattern_c,135
